Zdroj Ministerstvo vnútra SR,,,,,,,,,,,,,,,,,,,,,,,
ŠTATISTIKA  KRIMINALITY ZA OBDOBIE  1.1.  -  31.12.2018,,,,,,,,,,,,,,,,,,,,,,,

Údaje za  Slovenskú republiku,,,,,,,,,,,,,,,,,,,,,,,

,Údaje o trestných èinoch   ( škody v tisíc € ),,,,,,,,,,,,,"Údaje o stíhaných,vyšetrovaných osobách",,,,,,,,,
Druh kriminality,Zistené,Objasnené, t.j. %,Spôsob. škoda,Dodatoè. objasnené,Vplyv alkoholu,Vplyv drog,Maloletý páchate¾,Maloletý -alkohol,Maloletý -drogy,Mladistvý páchate¾,Mladistvý -alkohol,Mladistvý -drogy,Celkom osôb,Vplyv alkoholu,Vplyv drog,Maloletý páchate¾,Maloletý -alkohol,Maloletý -drogy ,Mladistvý páchate¾,Mladistvý -alkohol,Mladistvý -drogy,
§ 261                                   ,   32,   16,   50,   695,   12,   ,   ,   ,   ,   ,   ,   ,   ,   45,   ,   ,   ,   ,   ,   ,   ,   ,
§ 264                                   ,   4,   1,   25,   128,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 265/1                                 ,   2,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 266                                   ,   38,   6,   16,  1 644,   4,   ,   ,   ,   ,   ,   ,   ,   ,   10,   ,   ,   ,   ,   ,   ,   ,   ,
§ 268                                   ,   1,   1,   100,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   9,   ,   ,   ,   ,   ,   ,   ,   ,
§ 270/1                                 ,   41,   10,   24,   119,   1,   1,   ,   ,   ,   ,   ,   ,   ,   15,   1,   ,   ,   ,   ,   ,   ,   ,
§ 270/2                                 ,  1 113,   30,   3,   48,   6,   ,   ,   1,   ,   ,   3,   ,   ,   33,   ,   ,   1,   ,   ,   3,   ,   ,
§ 271/1                                 ,   4,   4,   100,   ,   ,   ,   1,   ,   ,   ,   1,   ,   ,   6,   ,   1,   ,   ,   ,   3,   ,   ,
§ 271/2                                 ,   1,   1,   100,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,
§ 273                                   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 274                                   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 276                                   ,   426,   207,   49,  72 920,   102,   ,   ,   ,   ,   ,   2,   ,   ,   477,   ,   ,   ,   ,   ,   1,   ,   ,
